original_text,masked_text,original_masked_word,mask_predicted
"таби ғ атты ң кереметіне, жапыра қ сыбдыры мен б ұ ла қ сылдырына, музыка құ діреті мен поэзияны ң си қ ырлы қ асиетіне, айды ң арулы ғ ы мен д ә л т ө бесіндегі аспанны ң д ә л б ү гін соншалы қ ты тазалы ғ ына, та ғ ы-та ғ ы н ә зік құ былыстар ғ а к өң іл б ө ліп жататын оны ң уа қ ыты жо қ","таби ғ атты ң <mask> жапыра қ сыбдыры мен б ұ ла қ сылдырына, музыка құ діреті мен поэзияны ң си қ ырлы қ асиетіне, айды ң арулы ғ ы мен д ә л т ө бесіндегі аспанны ң д ә л б ү гін соншалы қ ты тазалы ғ ына, та ғ ы-та ғ ы н ә зік құ былыстар ғ а к өң іл б ө ліп жататын оны ң уа қ ыты жо қ","кереметіне,",ң
ақпараттандырушының тиімділігін анықтау мәселесінде сенім маңызды фактор бола алады,ақпараттандырушының тиімділігін анықтау мәселесінде сенім маңызды <mask> бола алады,фактор,мәселе
ол үлгерімі нашар оқушылар қатарынан шыға алмай-ақ қойды,ол <mask> нашар оқушылар қатарынан шыға алмай-ақ қойды,үлгерімі,үлгерімі
өзге әскерін жаулаған жерін иемденуге қалдырған,өзге <mask> жаулаған жерін иемденуге қалдырған,әскерін,де
"мұны көріп отырған емтихан алушы « бұл бала грамматикадан түк білмейді » деп « 2 » қойғысы келіп еді, ассистенті б","мұны көріп отырған емтихан алушы « бұл бала грамматикадан <mask> білмейді » деп « 2 » қойғысы келіп еді, ассистенті б",түк,ештеңе
алдына алжапқыш байлаған әдемі келіншек үй ортасындағы столға ас даярлап жатыр екен,алдына <mask> байлаған әдемі келіншек үй ортасындағы столға ас даярлап жатыр екен,алжапқыш,бел
"сол кезде тұржан әрқайсымызды әке-шешеден түк қалдырмай сыбап, сирағымыздан дырылдата сүйреп, барактың аузынан сыртқа қарай атып жібереді… тағы да арқасы пышақтың қырындай, өзі жауыр өгіздің үстіне жарбия жабысасың","сол кезде тұржан әрқайсымызды әке-шешеден түк қалдырмай сыбап, сирағымыздан дырылдата сүйреп, барактың аузынан <mask> қарай атып жібереді… тағы да арқасы пышақтың қырындай, өзі жауыр өгіздің үстіне жарбия жабысасың",сыртқа,төмен
"егер солдатқа кетсем, керек шығар дегендегісі ғой, сірә","егер солдатқа кетсем, керек <mask> дегендегісі ғой, сірә",шығар,емес
"күн озған сайын айқындалып келеді, қазақстан деген – ұлттық мемлекет атауы емес, географиялық атау ғана","күн озған сайын айқындалып келеді, қазақстан деген – ұлттық мемлекет атауы <mask> географиялық атау ғана","емес,",","
"қара сұр бәйбіше басқалардан бұрынырақ жеткен еді, келе сала мырзаны бас салып құшақтай алды: - мырза-ау, не болдық","қара сұр бәйбіше басқалардан бұрынырақ жеткен еді, келе сала мырзаны бас салып құшақтай <mask> - мырза-ау, не болдық",алды:,алды
содан соң командирлер палаткасында түстік ас берілді,содан соң командирлер <mask> түстік ас берілді,палаткасында,үшін
"кейбір « батырлардың » көзсіздігі сонша, миямен қоса арпаның масағын да қырқып жібереді","кейбір « <mask> » көзсіздігі сонша, миямен қоса арпаның масағын да қырқып жібереді",батырлардың,ақ
"тележаңалықтардың қуаттылығын ескерсек, мынадай сұрақ қойғанымыз дұрыс: теледидардың жаңалықтар бағдарламасы үшін сюжет таңдауда қандай факторлар шешуші болып саналады","тележаңалықтардың қуаттылығын ескерсек, мынадай сұрақ қойғанымыз дұрыс: теледидардың жаңалықтар бағдарламасы үшін сюжет таңдауда қандай факторлар шешуші <mask> саналады",болып,болып
ұстатып жіберіп отырғандардың өзі сол ағайындар ғой,ұстатып жіберіп отырғандардың өзі сол <mask> ғой,ағайындар,еді
мен бір сенің басыңа да арнап айтпаймын,мен бір сенің басыңа <mask> арнап айтпаймын,да,не
"ойда жоқта пайда болған түс сынды таңғажайып сурет ішінен, ай астында сауыры жылтылдап көл кешіп тұрған жылқыдан мен өз арманым – қара қасқа құлынды іздедім, амал не, жоқ","ойда жоқта пайда болған түс сынды таңғажайып сурет ішінен, ай астында сауыры жылтылдап көл кешіп тұрған жылқыдан мен өз арманым – қара қасқа құлынды <mask> амал не, жоқ","іздедім,",","
ауыл үсті әбігер,ауыл <mask> әбігер,үсті,шаруашылық
"және ақыр соңында, 1983 жылы хуа ең соңғы қызметін – қхр орталық әскери кеңесінің төрағасы қызметін тастайды, оны дэн сяопиннің өзі атқарады","және ақыр соңында, 1983 жылы хуа ең соңғы қызметін – қхр орталық әскери кеңесінің төрағасы қызметін тастайды, оны <mask> сяопиннің өзі атқарады",дэн,–
"бірақ өте жөнелмепті, айлалы адам сала құлаш қайыс арқанын ыңғайлай келген екен, қарулы қолдан құлаштай лақтырылған шалма ысылдап барып кербұғының шаңырақ мүйізіне сақ ете қалды","бірақ өте жөнелмепті, айлалы адам сала құлаш қайыс арқанын ыңғайлай келген <mask> қарулы қолдан құлаштай лақтырылған шалма ысылдап барып кербұғының шаңырақ мүйізіне сақ ете қалды","екен,",","
"үйіне ала жаздай оралмай жүріп, кеше түнде ғана келген","үйіне ала жаздай <mask> жүріп, кеше түнде ғана келген",оралмай,алмай
"қорытынды мынадай: бұған дейін йосемит ұлттық бағындағы шатырлы қалашықта және метродағы экспериментте болған оқиғаларды таразылау кезінде ескерткенімдей, адамдар тағдыр ортақтығын сезінсе, көмекке тез ұмтылады","қорытынды мынадай: бұған дейін йосемит ұлттық бағындағы шатырлы қалашықта және метродағы экспериментте болған оқиғаларды таразылау кезінде ескерткенімдей, адамдар тағдыр ортақтығын сезінсе, көмекке <mask> ұмтылады",тез,келуге
"құлағын жымитып, басын төмен сала, жағын қарыстыра аузын ашып, тұра ұмтылған","құлағын жымитып, <mask> төмен сала, жағын қарыстыра аузын ашып, тұра ұмтылған",басын,басын
"әр қадамды санап басып, жүгірдік, жүрдік, ақсаңдадық, ақыры мәре жолағына еңбектеп жеттік","әр қадамды санап басып, жүгірдік, жүрдік, ақсаңдадық, <mask> мәре жолағына еңбектеп жеттік",ақыры,бір
шамасы біздегі қозғаушы күштерге әлі де болса ымыраласа түсуді талап ететін негізгі бағытта қажырлы қимыл жасауға тура келетін шығар,шамасы біздегі қозғаушы күштерге әлі <mask> болса ымыраласа түсуді талап ететін негізгі бағытта қажырлы қимыл жасауға тура келетін шығар,де,де
"мұхиттан мұхит кезіп, теңізден теңіз шарлаған испания мен португалия өздері ашқан жаңа дүниеге біржола тамыр жаймақ",мұхиттан мұхит <mask> теңізден теңіз шарлаған испания мен португалия өздері ашқан жаңа дүниеге біржола тамыр жаймақ,"кезіп,",пен
барлығы үлкен бір жобаға қатысады,барлығы үлкен бір <mask> қатысады,жобаға,топ
"әйтсе де көздеп атқан мылтық, кезенген тапанша, шүйірілген болат қылыш шыдатпады, иман — жанайдар сарбаздары аздан соң « кейін","әйтсе де көздеп атқан мылтық, кезенген тапанша, шүйірілген болат қылыш шыдатпады, иман — жанайдар <mask> аздан соң « кейін",сарбаздары,","
"journal of psychology and human sexuality, 3, 67–87","journal of psychology <mask> human sexuality, 3, 67–87",and,of
"оның өзінде де, туыстарында да бойжеткен әралуан қыз бар екен","оның өзінде де, туыстарында <mask> бойжеткен әралуан қыз бар екен",да,да
"өздері көк сүңгісін көтеріп, жер түбінен айбат шегіп келе жатқан қалың қол сияқты","өздері көк сүңгісін көтеріп, жер түбінен айбат шегіп келе жатқан қалың <mask> сияқты",қол,мал
"ол кезде хара-хуланың беделінің күшейгені сонша, 1619 жылы хал-хастардың билеушісі алтын хан орыс патшасына елші жіберіп, хара-хулаға қарсы бірге соғысайық деп ұсыныс жасапты, шіркін, саясат десеңші","ол кезде хара-хуланың беделінің күшейгені сонша, 1619 жылы хал-хастардың билеушісі алтын хан орыс патшасына елші жіберіп, хара-хулаға қарсы <mask> соғысайық деп ұсыныс жасапты, шіркін, саясат десеңші",бірге,алып
"жұмыста кім неге жауап беретінін шешкенде, қызымның бөлмесін жинауын өтінгенде немесе балықтарды кім тамақтандыратынын және қоқысты кім шығаратыны туралы мәселені талқылағанда, сізден нақты не күтетіні беймәлім болған ортада түсініспеушілік туып, оның соны түңілуге немесе сенімнен айырылуға апарып соғатынына күмәніңіз болмасын","жұмыста кім неге жауап беретінін шешкенде, қызымның бөлмесін жинауын өтінгенде немесе балықтарды кім тамақтандыратынын және қоқысты кім шығаратыны туралы мәселені талқылағанда, сізден нақты не күтетіні беймәлім болған ортада түсініспеушілік туып, оның соны түңілуге немесе сенімнен айырылуға апарып соғатынына <mask> болмасын",күмәніңіз,күмән
және бұл сезімдерді тең тәрбие қылу керек,және бұл сезімдерді тең <mask> қылу керек,тәрбие,дей
"бiрақ ертең олардан iз де, тозаң да қалмайды, қалмасы хақ","бiрақ ертең олардан iз де, тозаң да қалмайды, <mask> хақ",қалмасы,олардың
"қос анары да қолға қатты, кеудеге жұмсақ па екен",қос анары да қолға <mask> кеудеге жұмсақ па екен,"қатты,",","
демi дiрiлдей шығады,демi <mask> шығады,дiрiлдей,басылып
"сауда-саттық жасағанда өзгеріс барын байқап, несие картасын алаяқтар пайдаланғанын анықтағандай, takadu компаниясы да қолда бар деректерге, өзгерген көрсеткіштерге сүйеніп, құбырда ақау бар-жоғын, қай жері тесіліп, қай тұста су кетіп жатқанын анықтайды","сауда-саттық жасағанда өзгеріс барын байқап, несие картасын алаяқтар пайдаланғанын анықтағандай, takadu компаниясы <mask> қолда бар деректерге, өзгерген көрсеткіштерге сүйеніп, құбырда ақау бар-жоғын, қай жері тесіліп, қай тұста су кетіп жатқанын анықтайды",да,","
ақ сақалды шал мен орта жастағы кісі өлім жазасына кесілді,ақ сақалды шал мен <mask> жастағы кісі өлім жазасына кесілді,орта,егде
"қ ол созым жерде ғ ана отыр ғ ан қ ызды ң ө зінен тым-тым алыста екенін бір сезіндіріп, бір елестетіп ө ткенше жасынны ң бас қ а ғ а айтып т ү сіндіре алмас кезбе ойлары шартарапты шарлап барып қ айтып еді","қ ол созым жерде ғ ана отыр ғ ан қ ызды ң ө зінен тым-тым алыста екенін бір сезіндіріп, бір елестетіп ө ткенше жасынны ң бас қ а ғ а айтып т ү сіндіре алмас кезбе ойлары шартарапты шарлап <mask> қ айтып еді",барып,а
дағдарып қалғандар сол екі ортада тағы бір сұрақ ойлап табады,дағдарып қалғандар сол екі ортада тағы бір <mask> ойлап табады,сұрақ,нәрсе
күні бойы ішу-жеу,күні <mask> ішу-жеу,бойы,бойы
"бірақ менің де бір шартым бар, — дейді ұлық баланы бірден қолынан жетелетіп жібергісі келмей","бірақ менің де бір <mask> бар, — дейді ұлық баланы бірден қолынан жетелетіп жібергісі келмей",шартым,арманым
үстіне өзімнің күмістеген ерімді салады,үстіне өзімнің <mask> ерімді салады,күмістеген,туған
"жорықтан қайтқан сибан жігіттерін ұлпан, қасында қыз-келіншектері, ауыл сыртында қарсы алды","жорықтан қайтқан сибан жігіттерін ұлпан, қасында <mask> ауыл сыртында қарсы алды","қыз-келіншектері,",","
мұндай мәжіліске олардың қатысқаны жөн,мұндай мәжіліске олардың <mask> жөн,қатысқаны,қатысуы
"кенет әбден қалжырап, өкпем өшкенін аңдадым","кенет әбден қалжырап, өкпем <mask> аңдадым",өшкенін,де
"ал бірнеше күн темекіден бас тартсақ, тамақтағы тазалықты, тыныс алудың жеңілдігін және ауыздың құрғамай тұрғанын сезінудің жанға қандай жағымды екенін байқаймыз","ал бірнеше <mask> темекіден бас тартсақ, тамақтағы тазалықты, тыныс алудың жеңілдігін және ауыздың құрғамай тұрғанын сезінудің жанға қандай жағымды екенін байқаймыз",күн,рет
"мыналардың арасында тегін жүрген жоқ шығарсың, бізден гөрі көзің ашық қой, ақылыңды айтшы, — деген","мыналардың арасында тегін жүрген жоқ шығарсың, бізден гөрі <mask> ашық қой, ақылыңды айтшы, — деген",көзің,есік
"дұшпанды серпіп тастап, қардың бетін жау қанымен бояп, мерейі тасыған заевтың ротасы бұрынғы позициясына бекінді","дұшпанды <mask> тастап, қардың бетін жау қанымен бояп, мерейі тасыған заевтың ротасы бұрынғы позициясына бекінді",серпіп,алып
"аттармен, зеңбіректермен, снаряд салынған жәшіктермен қатарласа, шинель киіп, винтовка ұстаған қалың нөпір ел келеді","аттармен, зеңбіректермен, снаряд салынған жәшіктермен қатарласа, шинель киіп, <mask> ұстаған қалың нөпір ел келеді",винтовка,қолмен
"бенджамин франклин айтқандай, кесені түбіне дейін қотарып ішкен адам оның түбіндегі шөгіндісін ішуге де дайын болуы керек","бенджамин франклин айтқандай, <mask> түбіне дейін қотарып ішкен адам оның түбіндегі шөгіндісін ішуге де дайын болуы керек",кесені,су
"осы жолдан қалса, баяғыдан бергі есек дәмесінің бәрі желге ұшып, мойынына қияметтің қыл арқаны тірідей байланып, ат құйрығында кетеді","осы жолдан қалса, баяғыдан бергі <mask> дәмесінің бәрі желге ұшып, мойынына қияметтің қыл арқаны тірідей байланып, ат құйрығында кетеді",есек,бір
кейін әр қатысушы қылмыскерге өз үкімін шығарған,кейін әр қатысушы қылмыскерге өз <mask> шығарған,үкімін,еркімен
"көрмеге шыққан сиқыр ғалам, әлсіз адам ойымен, қиялымен ойнағандай","көрмеге шыққан сиқыр ғалам, әлсіз <mask> ойымен, қиялымен ойнағандай",адам,адамның
"оның айқын көрінісі – өзге адамдардың қайғы-қасіреті мен мұң-шеріне ортақтасып, оларға жанашырлық білдіру, сол арқылы өзгенің ауыр психикалық жай-күйін өз басынан кешіргендей халге түсуі","оның айқын көрінісі – өзге адамдардың қайғы-қасіреті мен <mask> ортақтасып, оларға жанашырлық білдіру, сол арқылы өзгенің ауыр психикалық жай-күйін өз басынан кешіргендей халге түсуі",мұң-шеріне,жақындарына
"аяған орнынан тұрып, ас бөлмеге шығып кетті","аяған орнынан тұрып, <mask> бөлмеге шығып кетті",ас,басқа
"баяғы бір заманда бұл өлкені, сарыөзектің даласын түгелдей дерлік жаулап алған жауыз келімсек жуан-жуан дегендер көпке дейін жайлаған","баяғы бір заманда <mask> өлкені, сарыөзектің даласын түгелдей дерлік жаулап алған жауыз келімсек жуан-жуан дегендер көпке дейін жайлаған",бұл,қазақ
амалсыз ренiшпен қиналып отырып: – көрiсерлiк не бар,амалсыз ренiшпен <mask> отырып: – көрiсерлiк не бар,қиналып,салыстыра
"оны орындамауға хақы жоқ құрылысшылар, шығыны және бейнеті ез жоспарларынан екі-үш есе артып кететін жол ісіне кіріскен",оны орындамауға хақы жоқ <mask> шығыны және бейнеті ез жоспарларынан екі-үш есе артып кететін жол ісіне кіріскен,"құрылысшылар,",","
"есболат үстіне, соның ішінде, әсі-ресе, аққұлы баласы оразбайдың өзіне салмақ салғалы, сиязды соның аулының үстінде құрғалы барады","есболат үстіне, соның ішінде, әсі-ресе, аққұлы баласы оразбайдың өзіне салмақ салғалы, сиязды соның <mask> үстінде құрғалы барады",аулының,ат
"елеске толы қара түн озып, ақыл орнына келген, адам атаулы ұйқыдан тұрған күн жарығында манағының бәрінен де шәлкес, әрі күнәқар ой оралған басына: егер әр жұрттың өз құдайы болса, алла — солардың ішіндегі әлжуазы, егер пайғамбар неше сан болса, мұхамед солардың ішіндегі ең үлкені емес","елеске толы қара түн озып, ақыл орнына келген, адам атаулы ұйқыдан тұрған күн жарығында манағының бәрінен де шәлкес, әрі күнәқар ой оралған басына: <mask> әр жұрттың өз құдайы болса, алла — солардың ішіндегі әлжуазы, егер пайғамбар неше сан болса, мұхамед солардың ішіндегі ең үлкені емес",егер,егер
"таяғымен алдын көлбеп, басы қалтандаңқырап ортаға қарай бір шал шықты",таяғымен алдын <mask> басы қалтандаңқырап ортаға қарай бір шал шықты,"көлбеп,",ала
"bdnf пен жаттығулар арасындағы байланыс анықталған кезде, зерттеушілер жаттығулардың тәуекел тобындағы адамдарға және ми ауруларымен ауыратындарға әсерін зерттей бастады","bdnf пен жаттығулар арасындағы байланыс анықталған кезде, <mask> жаттығулардың тәуекел тобындағы адамдарға және ми ауруларымен ауыратындарға әсерін зерттей бастады",зерттеушілер,ғалымдар
тіпті мүлде қайта жазып шығам,тіпті мүлде қайта <mask> шығам,жазып,басылып
ертеңіне бұлар кеш оянды,ертеңіне <mask> кеш оянды,бұлар,күнде
"есің барда еліңді тап, шырағым », — дер еді","есің <mask> еліңді тап, шырағым », — дер еді",барда,","
"стрэдлейтер шірене соқты, еденге сұлап түскенімді білем, есімнен тандым ба, жоқ па, айырғысыз","стрэдлейтер шірене соқты, еденге сұлап <mask> білем, есімнен тандым ба, жоқ па, айырғысыз",түскенімді,кетті
бұдан соң ораз-мұхамедтің дәргейіндегі андыз әскер бегі осы федор чулков болып қалды,бұдан соң ораз-мұхамедтің дәргейіндегі <mask> әскер бегі осы федор чулков болып қалды,андыз,жалғыз
данута эрлих пен әріптестері жарнама оқушыларға жүргізген сауалнамаларында16 дәл осыны байқаған,данута <mask> пен әріптестері жарнама оқушыларға жүргізген сауалнамаларында16 дәл осыны байқаған,эрлих,студент
"бір мың жеті жүз отыз екінші жылы, полковник гарбер басқарған жүзге таяу жауынгер қорғаушысы бар, орыстың хиуа мен бұхарға бара жатқан сауда керуені астрахань атырабында тоналған-ды","бір мың жеті жүз отыз екінші жылы, полковник гарбер басқарған жүзге таяу жауынгер қорғаушысы бар, орыстың хиуа мен бұхарға бара <mask> сауда керуені астрахань атырабында тоналған-ды",жатқан,жатқан
"түлкі бұлаң етіп, изеннің қалыңына қарай бұралаң тартқанда, алдымыздан пырдай болып бозғылт балапандар жан-жаққа шашырап жорғалай жөнелді","түлкі бұлаң етіп, изеннің қалыңына қарай бұралаң тартқанда, <mask> пырдай болып бозғылт балапандар жан-жаққа шашырап жорғалай жөнелді",алдымыздан,қара
"арада екі күн өтпей, екі ай бойы көлеңкесін шалдырмаған ұлыс бегі қадырғали келген ордаға","арада екі күн өтпей, екі <mask> бойы көлеңкесін шалдырмаған ұлыс бегі қадырғали келген ордаға",ай,күн
"егер басқа сабақтармен бірге ағылшын тілінен де құласаң, маған ренжіме, үйден тайып тұрасың","егер басқа сабақтармен <mask> ағылшын тілінен де құласаң, маған ренжіме, үйден тайып тұрасың",бірге,қатар
"генерал черняев әулие-атаны араларда, шаһарды шолу үшін тек-тұрмасқа бекер шықпаған","генерал черняев әулие-атаны араларда, шаһарды шолу үшін тек-тұрмасқа <mask> шықпаған",бекер,қарсы
"анау болса шамалы ғана алда атын желдіртіп отырды, ал, иығындағы сұңқары шөлдің тілін ғажап біледі – олар кідіріс жасап тоқтағанда, олжа іздеп, көкке самғайды","анау болса шамалы ғана алда атын желдіртіп отырды, ал, иығындағы сұңқары шөлдің тілін ғажап біледі – олар кідіріс жасап тоқтағанда, олжа іздеп, <mask> самғайды",көкке,көкке
"мөңке « аса кет әрі » болмаса да, тұңғыш естіген сөзден қысылып, қызарақтап қалды","мөңке « аса кет әрі » болмаса <mask> тұңғыш естіген сөзден қысылып, қызарақтап қалды","да,",","
өлтірген – менің інім,өлтірген – <mask> інім,менің,менің
қасынан етіп бара жатқан кісіден: — қай уақ болды,қасынан етіп бара жатқан <mask> — қай уақ болды,кісіден:,оқиға
ақы-бұлына келісетін де сол,ақы-бұлына келісетін <mask> сол,де,","
"айтайын ба, айтпайын ба",айтайын <mask> айтпайын ба,"ба,",деп
