original_text,masked_text,original_masked_word,mask_predicted
өзге әскерін жаулаған жерін иемденуге қалдырған,өзге [MASK] жаулаған жерін иемденуге қалдырған,әскерін,##ше
"мұны көріп отырған емтихан алушы « бұл бала грамматикадан түк білмейді » деп « 2 » қойғысы келіп еді, ассистенті б","мұны көріп отырған емтихан алушы « бұл бала грамматикадан [MASK] білмейді » деп « 2 » қойғысы келіп еді, ассистенті б",түк,не
алдына алжапқыш байлаған әдемі келіншек үй ортасындағы столға ас даярлап жатыр екен,алдына [MASK] байлаған әдемі келіншек үй ортасындағы столға ас даярлап жатыр екен,алжапқыш,##ғы
"сол кезде тұржан әрқайсымызды әке-шешеден түк қалдырмай сыбап, сирағымыздан дырылдата сүйреп, барактың аузынан сыртқа қарай атып жібереді… тағы да арқасы пышақтың қырындай, өзі жауыр өгіздің үстіне жарбия жабысасың","сол кезде тұржан әрқайсымызды әке-шешеден түк қалдырмай сыбап, сирағымыздан дырылдата сүйреп, барактың аузынан [MASK] қарай атып жібереді… тағы да арқасы пышақтың қырындай, өзі жауыр өгіздің үстіне жарбия жабысасың",сыртқа,әрі
"егер солдатқа кетсем, керек шығар дегендегісі ғой, сірә","егер солдатқа кетсем, керек [MASK] дегендегісі ғой, сірә",шығар,","
"күн озған сайын айқындалып келеді, қазақстан деген – ұлттық мемлекет атауы емес, географиялық атау ғана","күн озған сайын айқындалып келеді, қазақстан деген – ұлттық мемлекет атауы [MASK] географиялық атау ғана","емес,",ғана
"қара сұр бәйбіше басқалардан бұрынырақ жеткен еді, келе сала мырзаны бас салып құшақтай алды: - мырза-ау, не болдық","қара сұр бәйбіше басқалардан бұрынырақ жеткен еді, келе сала мырзаны бас салып құшақтай [MASK] - мырза-ау, не болдық",алды:,-
содан соң командирлер палаткасында түстік ас берілді,содан соң командирлер [MASK] түстік ас берілді,палаткасында,##ге
"кейбір « батырлардың » көзсіздігі сонша, миямен қоса арпаның масағын да қырқып жібереді","кейбір « [MASK] » көзсіздігі сонша, миямен қоса арпаның масағын да қырқып жібереді",батырлардың,ми
"тележаңалықтардың қуаттылығын ескерсек, мынадай сұрақ қойғанымыз дұрыс: теледидардың жаңалықтар бағдарламасы үшін сюжет таңдауда қандай факторлар шешуші болып саналады","тележаңалықтардың қуаттылығын ескерсек, мынадай сұрақ қойғанымыз дұрыс: теледидардың жаңалықтар бағдарламасы үшін сюжет таңдауда қандай факторлар шешуші [MASK] саналады",болып,болып
ұстатып жіберіп отырғандардың өзі сол ағайындар ғой,ұстатып жіберіп отырғандардың өзі сол [MASK] ғой,ағайындар,-
мен бір сенің басыңа да арнап айтпаймын,мен бір сенің басыңа [MASK] арнап айтпаймын,да,да
"ойда жоқта пайда болған түс сынды таңғажайып сурет ішінен, ай астында сауыры жылтылдап көл кешіп тұрған жылқыдан мен өз арманым – қара қасқа құлынды іздедім, амал не, жоқ","ойда жоқта пайда болған түс сынды таңғажайып сурет ішінен, ай астында сауыры жылтылдап көл кешіп тұрған жылқыдан мен өз арманым – қара қасқа құлынды [MASK] амал не, жоқ","іздедім,",","
ауыл үсті әбігер,ауыл [MASK] әбігер,үсті,-
"және ақыр соңында, 1983 жылы хуа ең соңғы қызметін – қхр орталық әскери кеңесінің төрағасы қызметін тастайды, оны дэн сяопиннің өзі атқарады","және ақыр соңында, 1983 жылы хуа ең соңғы қызметін – қхр орталық әскери кеңесінің төрағасы қызметін тастайды, оны [MASK] сяопиннің өзі атқарады",дэн,[UNK]
"бірақ өте жөнелмепті, айлалы адам сала құлаш қайыс арқанын ыңғайлай келген екен, қарулы қолдан құлаштай лақтырылған шалма ысылдап барып кербұғының шаңырақ мүйізіне сақ ете қалды","бірақ өте жөнелмепті, айлалы адам сала құлаш қайыс арқанын ыңғайлай келген [MASK] қарулы қолдан құлаштай лақтырылған шалма ысылдап барып кербұғының шаңырақ мүйізіне сақ ете қалды","екен,",##де
"үйіне ала жаздай оралмай жүріп, кеше түнде ғана келген","үйіне ала жаздай [MASK] жүріп, кеше түнде ғана келген",оралмай,болып
"қорытынды мынадай: бұған дейін йосемит ұлттық бағындағы шатырлы қалашықта және метродағы экспериментте болған оқиғаларды таразылау кезінде ескерткенімдей, адамдар тағдыр ортақтығын сезінсе, көмекке тез ұмтылады","қорытынды мынадай: бұған дейін йосемит ұлттық бағындағы шатырлы қалашықта және метродағы экспериментте болған оқиғаларды таразылау кезінде ескерткенімдей, адамдар тағдыр ортақтығын сезінсе, көмекке [MASK] ұмтылады",тез,де
"құлағын жымитып, басын төмен сала, жағын қарыстыра аузын ашып, тұра ұмтылған","құлағын жымитып, [MASK] төмен сала, жағын қарыстыра аузын ашып, тұра ұмтылған",басын,одан
"әр қадамды санап басып, жүгірдік, жүрдік, ақсаңдадық, ақыры мәре жолағына еңбектеп жеттік","әр қадамды санап басып, жүгірдік, жүрдік, ақсаңдадық, [MASK] мәре жолағына еңбектеп жеттік",ақыры,әр
шамасы біздегі қозғаушы күштерге әлі де болса ымыраласа түсуді талап ететін негізгі бағытта қажырлы қимыл жасауға тура келетін шығар,шамасы біздегі қозғаушы күштерге әлі [MASK] болса ымыраласа түсуді талап ететін негізгі бағытта қажырлы қимыл жасауға тура келетін шығар,де,белгілі
"мұхиттан мұхит кезіп, теңізден теңіз шарлаған испания мен португалия өздері ашқан жаңа дүниеге біржола тамыр жаймақ",мұхиттан мұхит [MASK] теңізден теңіз шарлаған испания мен португалия өздері ашқан жаңа дүниеге біржола тамыр жаймақ,"кезіп,",","
барлығы үлкен бір жобаға қатысады,барлығы үлкен бір [MASK] қатысады,жобаға,##ге
"әйтсе де көздеп атқан мылтық, кезенген тапанша, шүйірілген болат қылыш шыдатпады, иман — жанайдар сарбаздары аздан соң « кейін","әйтсе де көздеп атқан мылтық, кезенген тапанша, шүйірілген болат қылыш шыдатпады, иман — жанайдар [MASK] аздан соң « кейін",сарбаздары,","
"journal of psychology and human sexuality, 3, 67–87","journal of psychology [MASK] human sexuality, 3, 67–87",and,and
"оның өзінде де, туыстарында да бойжеткен әралуан қыз бар екен","оның өзінде де, туыстарында [MASK] бойжеткен әралуан қыз бар екен",да,де
"өздері көк сүңгісін көтеріп, жер түбінен айбат шегіп келе жатқан қалың қол сияқты","өздері көк сүңгісін көтеріп, жер түбінен айбат шегіп келе жатқан қалың [MASK] сияқты",қол,##дар
"ол кезде хара-хуланың беделінің күшейгені сонша, 1619 жылы хал-хастардың билеушісі алтын хан орыс патшасына елші жіберіп, хара-хулаға қарсы бірге соғысайық деп ұсыныс жасапты, шіркін, саясат десеңші","ол кезде хара-хуланың беделінің күшейгені сонша, 1619 жылы хал-хастардың билеушісі алтын хан орыс патшасына елші жіберіп, хара-хулаға қарсы [MASK] соғысайық деп ұсыныс жасапты, шіркін, саясат десеңші",бірге,","
"жұмыста кім неге жауап беретінін шешкенде, қызымның бөлмесін жинауын өтінгенде немесе балықтарды кім тамақтандыратынын және қоқысты кім шығаратыны туралы мәселені талқылағанда, сізден нақты не күтетіні беймәлім болған ортада түсініспеушілік туып, оның соны түңілуге немесе сенімнен айырылуға апарып соғатынына күмәніңіз болмасын","жұмыста кім неге жауап беретінін шешкенде, қызымның бөлмесін жинауын өтінгенде немесе балықтарды кім тамақтандыратынын және қоқысты кім шығаратыны туралы мәселені талқылағанда, сізден нақты не күтетіні беймәлім болған ортада түсініспеушілік туып, оның соны түңілуге немесе сенімнен айырылуға апарып соғатынына [MASK] болмасын",күмәніңіз,байланысты
және бұл сезімдерді тең тәрбие қылу керек,және бұл сезімдерді тең [MASK] қылу керек,тәрбие,##із
"бiрақ ертең олардан iз де, тозаң да қалмайды, қалмасы хақ","бiрақ ертең олардан iз де, тозаң да қалмайды, [MASK] хақ",қалмасы,-
"қос анары да қолға қатты, кеудеге жұмсақ па екен",қос анары да қолға [MASK] кеудеге жұмсақ па екен,"қатты,",","
демi дiрiлдей шығады,демi [MASK] шығады,дiрiлдей,##ң
"сауда-саттық жасағанда өзгеріс барын байқап, несие картасын алаяқтар пайдаланғанын анықтағандай, takadu компаниясы да қолда бар деректерге, өзгерген көрсеткіштерге сүйеніп, құбырда ақау бар-жоғын, қай жері тесіліп, қай тұста су кетіп жатқанын анықтайды","сауда-саттық жасағанда өзгеріс барын байқап, несие картасын алаяқтар пайдаланғанын анықтағандай, takadu компаниясы [MASK] қолда бар деректерге, өзгерген көрсеткіштерге сүйеніп, құбырда ақау бар-жоғын, қай жері тесіліп, қай тұста су кетіп жатқанын анықтайды",да,","
ақ сақалды шал мен орта жастағы кісі өлім жазасына кесілді,ақ сақалды шал мен [MASK] жастағы кісі өлім жазасына кесілді,орта,үш
"қ ол созым жерде ғ ана отыр ғ ан қ ызды ң ө зінен тым-тым алыста екенін бір сезіндіріп, бір елестетіп ө ткенше жасынны ң бас қ а ғ а айтып т ү сіндіре алмас кезбе ойлары шартарапты шарлап барып қ айтып еді","қ ол созым жерде ғ ана отыр ғ ан қ ызды ң ө зінен тым-тым алыста екенін бір сезіндіріп, бір елестетіп ө ткенше жасынны ң бас қ а ғ а айтып т ү сіндіре алмас кезбе ойлары шартарапты шарлап [MASK] қ айтып еді",барып,","
дағдарып қалғандар сол екі ортада тағы бір сұрақ ойлап табады,дағдарып қалғандар сол екі ортада тағы бір [MASK] ойлап табады,сұрақ,бала
күні бойы ішу-жеу,күні [MASK] ішу-жеу,бойы,-
"бірақ менің де бір шартым бар, — дейді ұлық баланы бірден қолынан жетелетіп жібергісі келмей","бірақ менің де бір [MASK] бар, — дейді ұлық баланы бірден қолынан жетелетіп жібергісі келмей",шартым,##еу
үстіне өзімнің күмістеген ерімді салады,үстіне өзімнің [MASK] ерімді салады,күмістеген,өзі
"жорықтан қайтқан сибан жігіттерін ұлпан, қасында қыз-келіншектері, ауыл сыртында қарсы алды","жорықтан қайтқан сибан жігіттерін ұлпан, қасында [MASK] ауыл сыртында қарсы алды","қыз-келіншектері,",","
мұндай мәжіліске олардың қатысқаны жөн,мұндай мәжіліске олардың [MASK] жөн,қатысқаны,-
"кенет әбден қалжырап, өкпем өшкенін аңдадым","кенет әбден қалжырап, өкпем [MASK] аңдадым",өшкенін,##ді
"ал бірнеше күн темекіден бас тартсақ, тамақтағы тазалықты, тыныс алудың жеңілдігін және ауыздың құрғамай тұрғанын сезінудің жанға қандай жағымды екенін байқаймыз","ал бірнеше [MASK] темекіден бас тартсақ, тамақтағы тазалықты, тыныс алудың жеңілдігін және ауыздың құрғамай тұрғанын сезінудің жанға қандай жағымды екенін байқаймыз",күн,рет
"мыналардың арасында тегін жүрген жоқ шығарсың, бізден гөрі көзің ашық қой, ақылыңды айтшы, — деген","мыналардың арасында тегін жүрген жоқ шығарсың, бізден гөрі [MASK] ашық қой, ақылыңды айтшы, — деген",көзің,","
"дұшпанды серпіп тастап, қардың бетін жау қанымен бояп, мерейі тасыған заевтың ротасы бұрынғы позициясына бекінді","дұшпанды [MASK] тастап, қардың бетін жау қанымен бояп, мерейі тасыған заевтың ротасы бұрынғы позициясына бекінді",серпіп,##мен
"аттармен, зеңбіректермен, снаряд салынған жәшіктермен қатарласа, шинель киіп, винтовка ұстаған қалың нөпір ел келеді","аттармен, зеңбіректермен, снаряд салынған жәшіктермен қатарласа, шинель киіп, [MASK] ұстаған қалың нөпір ел келеді",винтовка,ел
"бенджамин франклин айтқандай, кесені түбіне дейін қотарып ішкен адам оның түбіндегі шөгіндісін ішуге де дайын болуы керек","бенджамин франклин айтқандай, [MASK] түбіне дейін қотарып ішкен адам оның түбіндегі шөгіндісін ішуге де дайын болуы керек",кесені,оның
"осы жолдан қалса, баяғыдан бергі есек дәмесінің бәрі желге ұшып, мойынына қияметтің қыл арқаны тірідей байланып, ат құйрығында кетеді","осы жолдан қалса, баяғыдан бергі [MASK] дәмесінің бәрі желге ұшып, мойынына қияметтің қыл арқаны тірідей байланып, ат құйрығында кетеді",есек,##ш
кейін әр қатысушы қылмыскерге өз үкімін шығарған,кейін әр қатысушы қылмыскерге өз [MASK] шығарған,үкімін,##дері
"көрмеге шыққан сиқыр ғалам, әлсіз адам ойымен, қиялымен ойнағандай","көрмеге шыққан сиқыр ғалам, әлсіз [MASK] ойымен, қиялымен ойнағандай",адам,","
"оның айқын көрінісі – өзге адамдардың қайғы-қасіреті мен мұң-шеріне ортақтасып, оларға жанашырлық білдіру, сол арқылы өзгенің ауыр психикалық жай-күйін өз басынан кешіргендей халге түсуі","оның айқын көрінісі – өзге адамдардың қайғы-қасіреті мен [MASK] ортақтасып, оларға жанашырлық білдіру, сол арқылы өзгенің ауыр психикалық жай-күйін өз басынан кешіргендей халге түсуі",мұң-шеріне,##і
"аяған орнынан тұрып, ас бөлмеге шығып кетті","аяған орнынан тұрып, [MASK] бөлмеге шығып кетті",ас,бір
"баяғы бір заманда бұл өлкені, сарыөзектің даласын түгелдей дерлік жаулап алған жауыз келімсек жуан-жуан дегендер көпке дейін жайлаған","баяғы бір заманда [MASK] өлкені, сарыөзектің даласын түгелдей дерлік жаулап алған жауыз келімсек жуан-жуан дегендер көпке дейін жайлаған",бұл,бір
амалсыз ренiшпен қиналып отырып: – көрiсерлiк не бар,амалсыз ренiшпен [MASK] отырып: – көрiсерлiк не бар,қиналып,ала
"оны орындамауға хақы жоқ құрылысшылар, шығыны және бейнеті ез жоспарларынан екі-үш есе артып кететін жол ісіне кіріскен",оны орындамауға хақы жоқ [MASK] шығыны және бейнеті ез жоспарларынан екі-үш есе артып кететін жол ісіне кіріскен,"құрылысшылар,",","
"есболат үстіне, соның ішінде, әсі-ресе, аққұлы баласы оразбайдың өзіне салмақ салғалы, сиязды соның аулының үстінде құрғалы барады","есболат үстіне, соның ішінде, әсі-ресе, аққұлы баласы оразбайдың өзіне салмақ салғалы, сиязды соның [MASK] үстінде құрғалы барады",аулының,ішінде
"елеске толы қара түн озып, ақыл орнына келген, адам атаулы ұйқыдан тұрған күн жарығында манағының бәрінен де шәлкес, әрі күнәқар ой оралған басына: егер әр жұрттың өз құдайы болса, алла — солардың ішіндегі әлжуазы, егер пайғамбар неше сан болса, мұхамед солардың ішіндегі ең үлкені емес","елеске толы қара түн озып, ақыл орнына келген, адам атаулы ұйқыдан тұрған күн жарығында манағының бәрінен де шәлкес, әрі күнәқар ой оралған басына: [MASK] әр жұрттың өз құдайы болса, алла — солардың ішіндегі әлжуазы, егер пайғамбар неше сан болса, мұхамед солардың ішіндегі ең үлкені емес",егер,«
"таяғымен алдын көлбеп, басы қалтандаңқырап ортаға қарай бір шал шықты",таяғымен алдын [MASK] басы қалтандаңқырап ортаға қарай бір шал шықты,"көлбеп,",-
"bdnf пен жаттығулар арасындағы байланыс анықталған кезде, зерттеушілер жаттығулардың тәуекел тобындағы адамдарға және ми ауруларымен ауыратындарға әсерін зерттей бастады","bdnf пен жаттығулар арасындағы байланыс анықталған кезде, [MASK] жаттығулардың тәуекел тобындағы адамдарға және ми ауруларымен ауыратындарға әсерін зерттей бастады",зерттеушілер,ол
тіпті мүлде қайта жазып шығам,тіпті мүлде қайта [MASK] шығам,жазып,##дан
ертеңіне бұлар кеш оянды,ертеңіне [MASK] кеш оянды,бұлар,-
"есің барда еліңді тап, шырағым », — дер еді","есің [MASK] еліңді тап, шырағым », — дер еді",барда,«
"стрэдлейтер шірене соқты, еденге сұлап түскенімді білем, есімнен тандым ба, жоқ па, айырғысыз","стрэдлейтер шірене соқты, еденге сұлап [MASK] білем, есімнен тандым ба, жоқ па, айырғысыз",түскенімді,##қа
бұдан соң ораз-мұхамедтің дәргейіндегі андыз әскер бегі осы федор чулков болып қалды,бұдан соң ораз-мұхамедтің дәргейіндегі [MASK] әскер бегі осы федор чулков болып қалды,андыз,100
данута эрлих пен әріптестері жарнама оқушыларға жүргізген сауалнамаларында16 дәл осыны байқаған,данута [MASK] пен әріптестері жарнама оқушыларға жүргізген сауалнамаларында16 дәл осыны байқаған,эрлих,##с
"бір мың жеті жүз отыз екінші жылы, полковник гарбер басқарған жүзге таяу жауынгер қорғаушысы бар, орыстың хиуа мен бұхарға бара жатқан сауда керуені астрахань атырабында тоналған-ды","бір мың жеті жүз отыз екінші жылы, полковник гарбер басқарған жүзге таяу жауынгер қорғаушысы бар, орыстың хиуа мен бұхарға бара [MASK] сауда керуені астрахань атырабында тоналған-ды",жатқан,жатқан
"түлкі бұлаң етіп, изеннің қалыңына қарай бұралаң тартқанда, алдымыздан пырдай болып бозғылт балапандар жан-жаққа шашырап жорғалай жөнелді","түлкі бұлаң етіп, изеннің қалыңына қарай бұралаң тартқанда, [MASK] пырдай болып бозғылт балапандар жан-жаққа шашырап жорғалай жөнелді",алдымыздан,ал
"арада екі күн өтпей, екі ай бойы көлеңкесін шалдырмаған ұлыс бегі қадырғали келген ордаға","арада екі күн өтпей, екі [MASK] бойы көлеңкесін шалдырмаған ұлыс бегі қадырғали келген ордаға",ай,күн
"егер басқа сабақтармен бірге ағылшын тілінен де құласаң, маған ренжіме, үйден тайып тұрасың","егер басқа сабақтармен [MASK] ағылшын тілінен де құласаң, маған ренжіме, үйден тайып тұрасың",бірге,","
"генерал черняев әулие-атаны араларда, шаһарды шолу үшін тек-тұрмасқа бекер шықпаған","генерал черняев әулие-атаны араларда, шаһарды шолу үшін тек-тұрмасқа [MASK] шықпаған",бекер,тек
"анау болса шамалы ғана алда атын желдіртіп отырды, ал, иығындағы сұңқары шөлдің тілін ғажап біледі – олар кідіріс жасап тоқтағанда, олжа іздеп, көкке самғайды","анау болса шамалы ғана алда атын желдіртіп отырды, ал, иығындағы сұңқары шөлдің тілін ғажап біледі – олар кідіріс жасап тоқтағанда, олжа іздеп, [MASK] самғайды",көкке,олар
"мөңке « аса кет әрі » болмаса да, тұңғыш естіген сөзден қысылып, қызарақтап қалды","мөңке « аса кет әрі » болмаса [MASK] тұңғыш естіген сөзден қысылып, қызарақтап қалды","да,",","
өлтірген – менің інім,өлтірген – [MASK] інім,менің,-
қасынан етіп бара жатқан кісіден: — қай уақ болды,қасынан етіп бара жатқан [MASK] — қай уақ болды,кісіден:,[UNK]
ақы-бұлына келісетін де сол,ақы-бұлына келісетін [MASK] сол,де,-
"айтайын ба, айтпайын ба",айтайын [MASK] айтпайын ба,"ба,",ба
